		Methanoculleus_bourgensis_GCF_000304355.2_Mb_MS2_genomic	Methanoculleus_chikugoensis_GCF_900095385.1_L21_genomic	Methanoculleus_marisnigri_JR1_GCF_000015825.1_ASM1582v1_genomic	Methanoculleus_marisnigri_LGGD01_GCA_001509255.1_ASM150925v1_genomic	Methanoculleus_marisnigri_LGHE01_GCA_001508665.1_ASM150866v1_genomic	Methanoculleus_sediminis_S3Fa_GCA_001017125.1_ASM101712v1_genomic	Methanoculleus_sp._CAG_1088_GCF_000437835.1_MGS1088_genomic	Methanoculleus_sp._DTU006_GCA_001512375.1_ASM151237v1_genomic	Methanoculleus_sp._DTU007_GCA_001512385.1_ASM151238v1_genomic	Methanoculleus_sp._MAB1_GCF_900036045.1_Methanoculleus_sp_MAB1_genomic	Methanoculleus_sp._MH98A_GCA_000691865.1_MethMaris1.0_genomic	Methanoculleus_sp._SDB_GCA_001412355.1_ASM141235v1_genomic	Methanoculleus_thermophilus_CR1_GCA_001571405.1_ASM157140v1_genomic	Methanomicrobium_mobile_BP_GCA_000711215.1_ASM71121v1_genomic	
		2789754	2647757	2478594	1596244	1818960	2487774	1639892	2162963	2070788	2859279	2537043	2083542	2222775	1711551	
Methanoculleus_bourgensis_GCF_000304355.2_Mb_MS2_genomic	2789754	1.000	0.590	0.607	0.637	0.642	0.600	0.201	0.678	0.604	0.880	0.589	0.290	0.595	0.203	
Methanoculleus_chikugoensis_GCF_900095385.1_L21_genomic	2647757	0.590	1.000	0.746	0.666	0.667	0.744	0.216	0.559	0.642	0.585	0.734	0.301	0.631	0.215	
Methanoculleus_marisnigri_JR1_GCF_000015825.1_ASM1582v1_genomic	2478594	0.607	0.746	1.000	0.676	0.677	0.805	0.210	0.542	0.640	0.602	0.820	0.299	0.627	0.212	
Methanoculleus_marisnigri_LGGD01_GCA_001509255.1_ASM150925v1_genomic	1596244	0.637	0.666	0.676	0.994	0.851	0.674	0.170	0.550	0.585	0.633	0.672	0.279	0.589	0.170	
Methanoculleus_marisnigri_LGHE01_GCA_001508665.1_ASM150866v1_genomic	1818960	0.642	0.667	0.677	0.851	1.000	0.676	0.175	0.545	0.583	0.635	0.673	0.282	0.593	0.173	
Methanoculleus_sediminis_S3Fa_GCA_001017125.1_ASM101712v1_genomic	2487774	0.600	0.744	0.805	0.674	0.676	1.000	0.214	0.538	0.644	0.593	0.775	0.304	0.631	0.212	
Methanoculleus_sp._CAG_1088_GCF_000437835.1_MGS1088_genomic	1639892	0.201	0.216	0.210	0.170	0.175	0.214	0.994	0.163	0.167	0.203	0.208	0.146	0.174	0.115	
Methanoculleus_sp._DTU006_GCA_001512375.1_ASM151237v1_genomic	2162963	0.678	0.559	0.542	0.550	0.545	0.538	0.163	0.980	0.518	0.678	0.545	0.251	0.509	0.174	
Methanoculleus_sp._DTU007_GCA_001512385.1_ASM151238v1_genomic	2070788	0.604	0.642	0.640	0.585	0.583	0.644	0.167	0.518	0.986	0.597	0.633	0.270	0.929	0.193	
Methanoculleus_sp._MAB1_GCF_900036045.1_Methanoculleus_sp_MAB1_genomic	2859279	0.880	0.585	0.602	0.633	0.635	0.593	0.203	0.678	0.597	1.000	0.588	0.289	0.588	0.207	
Methanoculleus_sp._MH98A_GCA_000691865.1_MethMaris1.0_genomic	2537043	0.589	0.734	0.820	0.672	0.673	0.775	0.208	0.545	0.633	0.588	1.000	0.297	0.620	0.211	
Methanoculleus_sp._SDB_GCA_001412355.1_ASM141235v1_genomic	2083542	0.290	0.301	0.299	0.279	0.282	0.304	0.146	0.251	0.270	0.289	0.297	1.000	0.270	0.202	
Methanoculleus_thermophilus_CR1_GCA_001571405.1_ASM157140v1_genomic	2222775	0.595	0.631	0.627	0.589	0.593	0.631	0.174	0.509	0.929	0.588	0.620	0.270	1.000	0.199	
Methanomicrobium_mobile_BP_GCA_000711215.1_ASM71121v1_genomic	1711551	0.203	0.215	0.212	0.170	0.173	0.212	0.115	0.174	0.193	0.207	0.211	0.202	0.199	1.000	
