		Methanoculleus_bourgensis_GCF_000304355.2_Mb_MS2_genomic	Methanoculleus_chikugoensis_GCF_900095385.1_L21_genomic	Methanoculleus_marisnigri_JR1_GCF_000015825.1_ASM1582v1_genomic	Methanoculleus_marisnigri_LGGD01_GCA_001509255.1_ASM150925v1_genomic	Methanoculleus_marisnigri_LGHE01_GCA_001508665.1_ASM150866v1_genomic	Methanoculleus_sediminis_S3Fa_GCA_001017125.1_ASM101712v1_genomic	Methanoculleus_sp._CAG_1088_GCF_000437835.1_MGS1088_genomic	Methanoculleus_sp._DTU006_GCA_001512375.1_ASM151237v1_genomic	Methanoculleus_sp._DTU007_GCA_001512385.1_ASM151238v1_genomic	Methanoculleus_sp._MAB1_GCF_900036045.1_Methanoculleus_sp_MAB1_genomic	Methanoculleus_sp._MH98A_GCA_000691865.1_MethMaris1.0_genomic	Methanoculleus_sp._SDB_GCA_001412355.1_ASM141235v1_genomic	Methanoculleus_thermophilus_CR1_GCA_001571405.1_ASM157140v1_genomic	Methanomicrobium_mobile_BP_GCA_000711215.1_ASM71121v1_genomic	
		2789754	2647757	2478594	1596244	1818960	2487774	1639892	2162963	2070788	2859279	2537043	2083542	2222775	1711551	
Methanoculleus_bourgensis_GCF_000304355.2_Mb_MS2_genomic	2789754	2789754	1593585	1552658	1260249	1359278	1552436	439651	1597736	1384610	2454583	1551252	726206	1423934	449484	
Methanoculleus_chikugoensis_GCF_900095385.1_L21_genomic	2647757	1561554	2647757	1870828	1302760	1392741	1893808	469164	1313034	1450007	1547815	1873608	740977	1479993	469549	
Methanoculleus_marisnigri_JR1_GCF_000015825.1_ASM1582v1_genomic	2478594	1505464	1849134	2478081	1293931	1392750	1995470	451176	1279900	1431043	1492072	2032130	724530	1459875	459627	
Methanoculleus_marisnigri_LGGD01_GCA_001509255.1_ASM150925v1_genomic	1596244	1017064	1063745	1078535	1586740	1357967	1076345	271257	878649	933663	1009985	1072587	445940	940344	271452	
Methanoculleus_marisnigri_LGHE01_GCA_001508665.1_ASM150866v1_genomic	1818960	1166893	1213616	1231302	1416550	1818960	1230412	311294	991625	1060860	1155578	1225024	513171	1078144	313637	
Methanoculleus_sediminis_S3Fa_GCA_001017125.1_ASM101712v1_genomic	2487774	1491790	1852109	1989408	1294121	1386164	2487774	457220	1262315	1433270	1474333	1928941	730335	1461594	464336	
Methanoculleus_sp._CAG_1088_GCF_000437835.1_MGS1088_genomic	1639892	329180	354213	344469	265573	286388	351648	1630082	266617	274220	332771	341575	239260	285339	187941	
Methanoculleus_sp._DTU006_GCA_001512375.1_ASM151237v1_genomic	2162963	1467364	1208152	1173037	964256	1034705	1163845	296383	2119434	1062525	1467416	1178944	521854	1088880	323114	
Methanoculleus_sp._DTU007_GCA_001512385.1_ASM151238v1_genomic	2070788	1250017	1329355	1324356	1025989	1106547	1332809	310780	1072226	2040766	1236219	1310444	559638	1923756	364394	
Methanoculleus_sp._MAB1_GCF_900036045.1_Methanoculleus_sp_MAB1_genomic	2859279	2460361	1593967	1551625	1255389	1353029	1545963	444295	1587876	1379693	2859279	1554784	729631	1414809	451444	
Methanoculleus_sp._MH98A_GCA_000691865.1_MethMaris1.0_genomic	2537043	1494367	1861476	2046648	1284186	1379318	1945565	437469	1256404	1417992	1492203	2536290	712524	1447041	447291	
Methanoculleus_sp._SDB_GCA_001412355.1_ASM141235v1_genomic	2083542	605245	627386	623509	490696	531910	633868	257614	522082	547827	601324	619562	2083542	562815	372695	
Methanoculleus_thermophilus_CR1_GCA_001571405.1_ASM157140v1_genomic	2222775	1323367	1403163	1393580	1069973	1160727	1402416	340796	1132433	1959269	1307736	1378796	594588	2222775	398124	
Methanomicrobium_mobile_BP_GCA_000711215.1_ASM71121v1_genomic	1711551	348082	367468	362185	268874	295387	362940	188266	297836	329880	354619	361428	345147	340414	1711551	
